Los Angeles,90011,34.0663 -118.2266,3819702
Long Beach,90805,33.8236 -118.1886,465576
Anaheim,92804,33.8305 -117.9386,341361
Santa Ana,92704,33.7958 -118.0317,329427
Irvine,92612,33.5924 -117.7724,215529
Glendale,91205,34.1758 -118.3169,196021
Santa Clarita,91351,34.3833 -118.5283,177601
Garden Grove,92840,33.7958 -118.0317,173470
Lancaster,93535,34.6694 -118.1305,157693
Palmdale,93550,34.6694 -118.1305,153867
Pomona,91766,34.0017 -117.6585,150119
Torrance,90503,33.9541 -118.4302,146493
Orange,92867,33.8305 -117.9386,138409
Pasadena,91101,34.1327 -118.1272,138101
Fullerton,92833,34.9252 -117.9522,137183
El Monte,91732,34.1363 -117.9238,114296
Downey,90242,33.9345 -118.0916,112584
Costa Mesa,92627,33.6738 -117.9258,111600
Inglewood,90303,33.9541 -118.4302,110464
West Covina,91790,33.9541 -118.4302,106870
Norwalk,90650,33.9345 -118.0916,106309
Burbank,91506,34.1758 -118.3169,104092
Compton,90221,33.9288 -118.2108,97156
South Gate,90280,33.9288 -118.2108,95084
Mission Viejo,92691,33.6302 -117.675,94721
Carson,90745,33.8236 -118.1886,92376
Westminster,80030,39.768 -104.873,91064
Santa Monica,90401,34.0505 -118.4566,90377
Newport Beach,92660,33.6738 -117.9258,86484
Whittier,90605,33.9345 -118.0916,85943
Hawthorne,90250,33.9541 -118.4302,84905
Alhambra,91801,34.1327 -118.1272,83693
Buena Park,90620,33.8305 -117.9386,81747
Lakewood,90713,33.8236 -118.1886,80634
Lake Forest,92630,33.6302 -117.675,78439
Bellflower,90706,33.9345 -118.0916,77170
Tustin,92780,33.6302 -117.675,76689
Baldwin Park,91706,34.1363 -117.9238,75940
Lynwood,90262,33.9288 -118.2108,70257
Redondo Beach,90278,33.9541 -118.4302,67233
Yorba Linda,92886,34.9252 -117.9522,65215
San Clemente,92672,33.5493 -117.5715,64491
Laguna Niguel,92677,33.5924 -117.7724,63940
Pico Rivera,90660,33.9345 -118.0916,63400
Montebello,90640,33.9345 -118.0916,62954
La Habra,90631,34.9252 -117.9522,61164
Monterey Park,91754,34.9252 -117.9522,60707
Gardena,90247,33.9541 -118.4302,59253
Arcadia,91007,34.1363 -117.9238,56769
Diamond Bar,91765,34.0666 -117.75,55951
Paramount,90723,33.9345 -118.0916,54492
Rosemead,91770,33.9345 -118.0916,54154
Placentia,92870,34.9252 -117.9522,51302
Glendora,91740,34.1444 -117.85,50435
Huntington Beach,92647,33.6738 -117.9258,192888
Huntington Park,90255,33.9288 -118.2108,58536
Fountain Valley,92708,33.6738 -117.9258,56153